,title,heading,content,tokens
1624,Harvester case,McKay's criticism,"In response to the High Court decision, McKay stated ""The Excise Act was declared to be ultra vires - The Federal Parliament had gone beyond its powers, all the ingenuity and eloquence spent on the measure, all the litigation devoted to its practical enforcement, and all the elaborate conditions laid down by the Arbitration Court and by the Customs authorities, crumbled to nothing.""In 1922, McKay wrote to Prime Minister Hughes on the subject of wages boards and collective bargaining, stating ""I do not agree with the basic wage for the Commonwealth. In other parts of the world it is a minimum wage for the minimum man and a maximum wage for the maximum man - each man according to his ability and capacity. God did not make men equal - it is no use trying to pretend He did, or to make laws as though He did, or to pay people according to their requirements instead of according to their services.""",185
1625,Hainan yellow lantern chili,Summary,"The Hainan yellow lantern chili (Chinese: 海南黄灯笼椒; pinyin: hǎi nán huáng dēng lóng jiāo), also known as the yellow emperor chili (Chinese: 黄帝椒; pinyin: huáng dì jiāo) is a member of the Capsicum chinense species of chili peppers that grows mainly in the southwest and southeast of Hainan Island off the coast of Southern China.",124
1626,Ethylenediaminetetraacetic acid,Iminodisuccinic acid (IDS),"Commercially used since 1998, iminodisuccinic acid (IDS) biodegrades by about 80% after only 7 days. IDS binds to calcium exceptionally well and forms stable compounds with other heavy metal ions. In addition to having a lower toxicity after chelation, IDS is degraded by Agrobacterium tumefaciens (BY6), which can be harvested on a large scale. The enzymes involved, IDS epimerase and C−N lyase, do not require any cofactors.",111
1627,Molybdenum,Excretion,"Most molybdenum is excreted from the human body as molybdate in the urine. Furthermore, urinary excretion of molybdenum increases as dietary molybdenum intake increases. Small amounts of molybdenum are excreted from the body in the feces by way of the bile; small amounts also can be lost in sweat and in hair.",85
1628,Iron in biology,Human body iron stores,"Most well-nourished people in industrialized countries have 4 to 5 grams of iron in their bodies (∼38 mg iron/kg body weight for women and ∼50 mg iron/kg body for men). Of this, about 2.5 g is contained in the hemoglobin needed to carry oxygen through the blood (around 0.5 mg of iron per mL of blood), and most of the rest (approximately 2 grams in adult men, and somewhat less in women of childbearing age) is contained in ferritin complexes that are present in all cells, but most common in bone marrow, liver, and spleen. The liver stores of ferritin are the primary physiologic source of reserve iron in the body. The reserves of iron in industrialized countries tend to be lower in children and women of child-bearing age than in men and in the elderly. Women who must use their stores to compensate for iron lost through menstruation, pregnancy or lactation have lower non-hemoglobin body stores, which may consist of 500 mg, or even less.
Of the body's total iron content, about 400 mg is devoted to cellular proteins that use iron for important cellular processes like storing oxygen (myoglobin) or performing energy-producing redox reactions (cytochromes). A relatively small amount (3–4 mg) circulates through the plasma, bound to transferrin. Because of its toxicity, free soluble iron is kept in low concentration in the body.
Iron deficiency first affects the storage of iron in the body, and depletion of these stores is thought to be relatively asymptomatic, although some vague and non-specific symptoms have been associated with it. Since iron is primarily required for hemoglobin, iron deficiency anemia is the primary clinical manifestation of iron deficiency. Iron-deficient people will suffer or die from organ damage well before their cells run out of the iron needed for intracellular processes like electron transport.
Macrophages of the reticuloendothelial system store iron as part of the process of breaking down and processing hemoglobin from engulfed red blood cells. Iron is also stored as a pigment called hemosiderin, which is an ill-defined deposit of protein and iron, created by macrophages where excess iron is present, either locally or systemically, e.g., among people with iron overload due to frequent blood cell destruction and the necessary transfusions their condition calls for. If systemic iron overload is corrected, over time the hemosiderin is slowly resorbed by the macrophages.",522
1629,Pesticide poisoning,Summary,"A pesticide poisoning occurs when pesticides, chemicals intended to control a pest, affect non-target organisms such as humans, wildlife, plant, or bees. There are three types of pesticide poisoning. The first of the three is a single and short-term very high level of exposure which can be experienced by individuals who commit suicide, as well as pesticide formulators. The second type of poisoning is long-term high-level exposure, which can occur in pesticide formulators and manufacturers. The third type of poisoning is a long-term low-level exposure, which individuals are exposed to from sources such as pesticide residues in food as well as contact with pesticide residues in the air, water, soil, sediment, food materials, plants and animals.In developing countries, such as Sri Lanka, pesticide poisonings from short-term very high level of exposure (acute poisoning) is the most worrisome type of poisoning. However, in developed countries, such as Canada, it is the complete opposite: acute pesticide poisoning is controlled, thus making the main issue long-term low-level exposure of pesticides.",223
1630,Plough,Loy ploughing,"Manual loy ploughing was a form used on small farms in Ireland where farmers could not afford more, or on hilly ground that precluded horses. It was used up until the 1960s in poorer land. It suited the moist Irish climate, as the trenches formed by turning in the sods provided drainage. It allowed potatoes to be grown in bogs (peat swamps) and on otherwise unfarmed mountain slopes.",90
1631,T-type calcium channel,Cancer,"T-type Calcium channels are expressed in different human cancers such as breast, colon, prostate, insulinoma, retinoblastoma, leukemia, ovarian, and melanoma, and they also play key roles in proliferation, survival, and the regulation of cell cycle progression in these forms of cancer . This was demonstrated through studies that showed that down regulating T-type channel isoforms, or just blocking the T-type calcium channels caused cytostatic effects in cancer cells such as gliomas, breast, melanomas, and ovarian, esophageal, and colorectal cancers . 
Some of the most notorious forms of cancer tumors contain cancer stem cells (CSC), which makes them particularly resistant to any cancer therapy . Furthermore, there is evidence that suggests that the presence of the CSC in human tumors may be associated with the expression of T-type calcium channels in the tumors.",186
1632,Phthorimaea operculella,Pupae,"The pupae of P. operculella are narrow in width and typically 0.5 inches in length. They are usually white in color and will take 10–30 days to develop, depending on environmental conditions.",46
1633,Sustainable agriculture,Aims,"A common consensus is that sustainable farming is the most realistic way to feed growing populations. In order to successfully feed the population of the planet, farming practices must consider future costs–to both the environment and the communities they fuel.  The fear of not being able to provide enough resources for everyone led to the adoption of technology within the sustainability field to increase farm productivity. The ideal end result of this advancement is the ability to feed ever-growing populations across the world. The growing popularity of sustainable agriculture is connected to the wide-reaching fear that the planet's carrying capacity (or planetary boundaries), in terms of the ability to feed humanity, has been reached or even exceeded.",137
1634,Food system,History of conventional food systems,"The development of food systems can be traced back to the origins of in-situ agriculture and the production of food surpluses. These surpluses enabled the development of settled areas and contributed to the development of ancient civilizations, particularly those in the Fertile Crescent. The system of trade associated with the exchange of foodstuffs also emerged in East Asia, North America, South America, and Subsaharan Africa with common commodities of exchange such as salt, spices, fish, grains, etc. Through events in world history such as the conquests of Alexander the Great, the Crusades, the expansion of Islam, the journeys of Marco Polo, and the exploration and colonization of the Americas by Europeans led to the introduction and redistribution of new foods to the world at large, and food systems began to intermingle on a global scale. After World War II, the advent of industrialized agriculture and more robust global trade mechanisms have evolved into the models of food production, presentation, delivery, and disposal that characterize conventional food systems today.",214
1635,Cumin,Breeding,"Cumin is a diploid species with 14 chromosomes (i.e. 2n = 14). The chromosomes of the different varieties have morphological similarities with no distinct variation in length and volume. Most of the varieties available today are selections. The variabilities of yield and yield components are high. Varieties are developed by sib mating in enclosed chambers or by biotechnology. Cumin is a cross-pollinator, i.e. the breeds are already hybrids. Therefore, methods used for breeding are in vitro regenerations, DNA technologies, and gene transfers. The in vitro cultivation of cumin allows the production of genetically identical plants. The main sources for the explants used in vitro regenerations are embryos, hypocotyl, shoot internodes, leaves, and cotyledons. One goal of cumin breeding is to improve its resistance to biotic (fungal diseases) and abiotic (cold, drought, salinity) stresses. The potential genetic variability for conventional breeding of cumin is limited and research about cumin genetics is scarce.",218
1636,Vindhya Range,Etymology and names,"According to the author of a commentary on Amarakosha, the word Vindhya derives from the Sanskrit word vaindh (to obstruct). A mythological story (see below) states that the Vindhyas once obstructed the path of the sun, resulting in this name. Ramayana from Valmiki states that the great mountain Vindhya that was growing incessantly and obstructing the path of the Sun stopped growing any more in obedience to Agastya's words. According to another theory, the name ""Vindhya"" means ""hunter"" in Sanskrit, and may refer to the tribal hunter-gatherers inhabiting the region.The Vindhya range is also known as ""Vindhyachala"" or ""Vindhyachal""; the suffix achala (Sanskrit) or achal (Hindi) refers to a mountain. In the Mahabharata, the range is also referred to as Vindhyapadaparvata. The Greek geographer Ptolemy called the range Vindius or Ouindion, describing it as the source of Namados (Narmada) and Nanagouna (Tapti) rivers. The ""Daksinaparvata"" (""Southern Mountain"") mentioned in the Kaushitaki Upanishad is also identified with the Vindhyas.",287
1637,Tractor,Levers and switches,"Many functions once controlled with levers have been replaced with some model of electrical switch with the rise of indirect computer controlling of functions in modern tractors.
Until the late of the 1950s, tractors had a single register of gears, hence one gear stick, often with three to five forward gears and one reverse. Then, group gears were introduced, and another gear stick was added. Later, control of the forward-reverse direction was moved to a special stick attached at the side of the steering wheel, which allowed forward or reverse travel in any gear. Now, with CVTs or other gear types, fewer sticks control the transmission, and some are replaced with electrical switches or are totally computer-controlled.
The three-point hitch was controlled with a lever for adjusting the position, or as with the earliest ones, just the function for raising or lowering the hitch. With modern electrical systems, it is often replaced with a potentiometer for the lower bound position and another one for the upper bound, and a switch allowing automatic adjustment of the hitch between these settings.
The external hydraulics also originally had levers, but now are often replaced with some form of electrical switch; the same is true for the power take-off shaft.",253
1638,Ductile iron pipe,Dimensions,"Ductile iron pipe is sized according to a dimensionless term known as the Pipe Size or Nominal Diameter (known by its French abbreviation, DN). This is roughly equivalent to the pipe's internal diameter in inches or millimeters. However, it is the external diameter of the pipe that is kept constant between changes in wall thickness, in order to maintain compatibility in joints and fittings. Consequently, the internal diameter varies, sometimes significantly, from its nominal size.
Pipe dimensions are standardised to the mutually incompatible AWWA C151 (US Customary Units) in the United States, ISO 2531 / EN 545/598 (metric) in Europe, and AS/NZS 2280 (metric) in Australia and New Zealand. Although both metric, European and Australian are not compatible and pipes of identical nominal diameters have quite different dimensions.",179
1639,Outline of sustainable agriculture,Economic considerations,"Action plan
Cash flow
Comparative advantage
Competitive advantage
Consumer behaviour
Core competency
Economies of scale
Elasticity (economics)
Enterprise life cycle
Enterprise modelling
Enterprise planning system
Gross margin
Land grabbing
Micro-enterprise
Opportunity cost
Product differentiation
Resource-based view
Risk
Risk management
Social enterprise
Socially optimal firm size
Substitute good
Supply and demand
Uncertainty
Water grabbing",109
1640,Garlic salt,Summary,"Garlic salt is a seasoned salt made of a mixture of dried, ground garlic and table salt with an anti-caking agent (e.g. calcium silicate). In its most basic form it is made by combining 3 parts salt and 1 part dried garlic powder by volume, or 6 parts salt and 1 part garlic powder by weight.",73
1641,Conservation grazing,Vertebrates,"Grazing can have varied effects on vertebrates. Kuhnert et al. observed that different bird species react in different ways to changes in grazing intensity. Grazing has also been thought to decrease the abundance of vertebrates, such as the prairie dog and the desert tortoise. However, Kazmaier et al. found that moderate grazing by cattle had no effect on the Texas tortoise.Rabbits have been widely discussed due to their influences on land composition. Bell and Watson found that rabbits show grazing preference for different plant species.  This preference can alter the composition of a plant community.  In some cases, if the preference is for a non-native, invasive plant, rabbit grazing may benefit the community by reducing non-native abundance and creating room for the native plant species to fill. When rabbits graze in moderation they can create a more complex ecosystem, by creating more variable environments that will allow for more predator-competitor relationships between the various organisms.  However, besides the effect on wild vegetation, rabbits destroy crops, compete with other herbivores, and can result in extreme ecological damage.  Competition can be direct or indirect.  The rabbits may specifically eat the competitions target food or it may inhibit the growth of grasses that other species eat. For example, rabbit grazing in the Netherlands inhibits tall grasses from becoming dominant. This in turn enhances the suitability of the pasture for brent goose. However, they may benefit predators that do better in open areas, because the rabbits reduce the amount of vegetation making it easier for those predators to spot their prey.Finally, grazing has demonstrated use in clearing dry brush to reduce the fire hazard of drought-stricken areas.",348
1642,History of fertilizer,The Haber Process,"In the early decades of the 20th century, the Nobel prize-winning chemists Carl Bosch of IG Farben and Fritz Haber developed the Haber process which utilized molecular nitrogen (N2) and methane (CH4) gas in an economically sustainable synthesis of ammonia (NH3). The ammonia produced in the Haber process is the main raw material of the Ostwald process.",83
1643,Digitalis thapsi,Leaves,"The lower basal leaf blades are 7.5 to 13cm (exceptionally 19cm) in length, 2.5 to 5cm in width, more or less flat but sometimes undulated along the margins, and oblong to elliptic in shape, with a sharp to somewhat sharply tipped apex. The bases of the leaves taper gradually into the petioles. The texture is soft, not leathery. The underside is rugose-reticular in texture, coloured 	greenish-yellow and very densely packed with glandular hairs. The leaves in the middle of the rosette are clearly decurrent. The margins are denticulate or somewhat so, rarely subentire.",144
1644,Sodium–potassium pump,Pharmacologic regulation,"In certain conditions such as in the case of cardiac disease, the Na⁺/K⁺-ATPase may need to be inhibited via pharmacological means. A commonly used inhibitor used in the treatment of cardiac disease would be digoxin which essentially binds ""to the extracellular part of enzyme i.e. that binds potassium, when it is in a phosphorylated state, to transfer potassium inside the cell"" After this essential binding occurs, a dephosphorylation of the alpha subunit occurs which reduces the effect of cardiac disease. It is via the inhibiting of the Na⁺/K⁺-ATPase that sodium levels will begin to increase within the cell which ultimately increases the concentration of intracellular calcium via the sodium-calcium exchanger. This increased presence of calcium is what allows for the force of contraction to be increased. In the case of patients where the heart is not pumping hard enough to provide what is needed for the body this approach allows for the temporary overcoming of this.",211
1645,Manganese,Biological role in bacteria,"Mn-SOD is the type of SOD present in eukaryotic mitochondria, and also in most bacteria (this fact is in keeping with the bacterial-origin theory of mitochondria). The Mn-SOD enzyme is probably one of the most ancient, for nearly all organisms living in the presence of oxygen use it to deal with the toxic effects of superoxide (O−2), formed from the 1-electron reduction of dioxygen. The exceptions, which are all bacteria, include Lactobacillus plantarum and related lactobacilli, which use a different nonenzymatic mechanism with manganese (Mn2+) ions complexed with polyphosphate, suggesting a path of evolution for this function in aerobic life.",163
1646,Greenhouse,Uses,"Greenhouses allow for greater control over the growing environment of plants. Depending upon the technical specification of a greenhouse, key factors which may be controlled include temperature, levels of light and shade, irrigation, fertilizer application, and atmospheric humidity. Greenhouses may be used to overcome shortcomings in the growing qualities of a piece of land, such as a short growing season or poor light levels, and they can thereby improve food production in marginal environments.  Shade houses are used specifically to provide shade in hot, dry climates.As they may enable certain crops to be grown throughout the year, greenhouses are increasingly important in the food supply of high-latitude countries. One of the largest complexes in the world is in Almería, Andalucía, Spain, where greenhouses cover almost 200 km2 (49,000 acres).Greenhouses are often used for growing flowers, vegetables, fruits, and transplants. Special greenhouse varieties of certain crops, such as tomatoes, are generally used for commercial production.
Many vegetables and flowers can be grown in greenhouses in late winter and early spring, and then transplanted outside as the weather warms. Seed tray racks can also be used to stack seed trays inside the greenhouse for later transplanting outside. Hydroponics (especially hydroponic A-frames) can be used to make the most use of the interior space when growing crops to mature size inside the greenhouse.
Bumblebees can be used as pollinators for pollination, but other types of bees have also been used, as well as artificial pollination.
The relatively closed environment of a greenhouse has its own unique management requirements, compared with outdoor production. Pests and diseases, and extremes of temperature and humidity, have to be controlled, and irrigation is necessary to provide water. Most greenhouses use sprinklers or drip lines. Significant inputs of heat and light may be required, particularly with winter production of warm-weather vegetables.
Greenhouses also have applications outside of the agriculture industry. GlassPoint Solar, located in Fremont, California, encloses solar fields in greenhouses to produce steam for solar-enhanced oil recovery. For example, in November 2017 GlassPoint announced that it is developing a solar enhanced oil recovery facility near Bakersfield, CA that uses greenhouses to enclose its parabolic troughs.
An ""alpine house"" is a specialized greenhouse used for growing alpine plants. The purpose of an alpine house is to mimic the conditions in which alpine plants grow; particularly to provide protection from wet conditions in winter. Alpine houses are often unheated, since the plants grown there are hardy, or require at most protection from hard frost in the winter. They are designed to have excellent ventilation.",556
1647,Ethylenediaminetetraacetic acid,Analysis,"In evaluating kidney function, the chromium(III) complex [Cr(EDTA)]− (as radioactive chromium-51 (51Cr)) is administered intravenously and its filtration into the urine is monitored.  This method is useful for evaluating glomerular filtration rate (GFR) in nuclear medicine.EDTA is used extensively in the analysis of blood.  It is an anticoagulant for blood samples for CBC/FBCs, where the EDTA chelates the calcium present in the blood specimen, arresting the coagulation process and preserving blood cell morphology. Tubes containing EDTA are marked with lavender (purple) or pink tops. EDTA is also in tan top tubes for lead testing and can be used in royal blue top tubes for trace metal testing.EDTA is a slime dispersant, and has been found to be highly effective in reducing bacterial growth during implantation of intraocular lenses (IOLs).",202
1648,White mustard,Other uses,"White mustard is commonly used as a cover and green manure crop in Europe (between UK and Ukraine). A large number of varieties exist, mainly differing in lateness of flowering and resistance against white beet-cyst nematode (Heterodera schachtii). Farmers prefer late-flowering varieties, which do not produce seeds, as they may become weeds in the subsequent year. Early vigor is important to cover the soil quickly to suppress weeds and protect the soil against erosion. In rotations with sugar beets, suppression of the white beet-cyst nematode is an important trait. Resistant white mustard varieties reduce nematode populations by 70-90%.",140
1649,Greenhouse gas emissions,Black carbon,"Black carbon is formed through the incomplete combustion of fossil fuels, biofuel, and biomass. It is not a greenhouse gas but a climate forcing agent. Black carbon can absorb sunlight and reduce albedo when deposited on snow and ice. Indirect heating can be caused by the interaction with clouds. Black carbon stays in the atmosphere for only several days to weeks. Emissions may be mitigated by upgrading coke ovens, installing particulate filters on diesel-based engines, reducing routine flaring, and minimizing open burning of biomass.",110
1650,Tillage erosion,Mitigation,"Tillage erosion can be mitigated by reducing the intensity of tillage. This includes reducing the frequency of tillage, the speed and depth of tillage, and the size of the tillage implement. However, conservation tillage equipment designed to reduce water erosion may not be able to reduce tillage erosion and field operations traditionally not considered tillage operations may cause significant amount of tillage erosion (e.g., harvesting for potato).  Contour tillage will reduce the variation of tillage speed and depth, resulting in reduced changes in tillage translocation across the field. This will also lead to lower tillage erosion. In addition, downslope movement of soil can be compensated by using a reversible moldboard plough to throw the furrow upslope. Physically moving soil from accumulation areas (e.g., depressions) to the eroding portion of the field (e.g., hilltops), a practice termed soil landscape restoration, can mitigate the impact of tillage erosion by restoring soil productivity at the eroding portion of the field.",218
1651,Digitalis lanata,Distribution,"It is native to Anatolia and the Balkans, where it is found in Albania, Bulgaria, Croatia, Greece, Thrace (European Turkey), Hungary, Serbia, Kosovo and Romania, eastwards to northern Moldova. It has been introduced to Ukrainian Galicia, Austria, the Czech Republic, Estonia and Germany. Its presence in Slovakia is questionable.In the US it has naturalised in a number of northeastern states. Although it has yet only spread to a few counties per state, it is still considered potentially invasive or a noxious weed. The state of Minnesota considers it a noxious weed, and it is an invasive species of grasslands and woodlands in Wisconsin, and Kansas. As of 2001, it may not be imported into Kansas. It has also naturalised in the US states of Connecticut, Indiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Vermont and West Virginia. In Canada it has become naturalised in southern Ontario and Quebec. Other areas where it might be naturalised are Vietnam and the western Himalayas.",227
1652,Apple,Pests and diseases,"Apple trees are susceptible to a number of fungal and bacterial diseases and insect pests. Many commercial orchards pursue a program of chemical sprays to maintain high fruit quality, tree health, and high yields. These prohibit the use of synthetic pesticides, though some older pesticides are allowed. Organic methods include, for instance, introducing its natural predator to reduce the population of a particular pest.
A wide range of pests and diseases can affect the plant. Three of the more common diseases or pests are mildew, aphids, and apple scab.

Mildew is characterized by light grey powdery patches appearing on the leaves, shoots and flowers, normally in spring. The flowers turn a creamy yellow color and do not develop correctly. This can be treated similarly to Botrytis—eliminating the conditions that caused the disease and burning the infected plants are among recommended actions.
Aphids are a small insect. Five species of aphids commonly attack apples: apple grain aphid, rosy apple aphid, apple aphid, spirea aphid, and the woolly apple aphid. The aphid species can be identified by color, time of year, and by differences in the cornicles (small paired projections from their rear). Aphids feed on foliage using needle-like mouth parts to suck out plant juices. When present in high numbers, certain species reduce tree growth and vigor.
Apple scab: Apple scab causes leaves to develop olive-brown spots with a velvety texture that later turn brown and become cork-like in texture. The disease also affects the fruit, which also develops similar brown spots with velvety or cork-like textures. Apple scab is spread through fungus growing in old apple leaves on the ground and spreads during warm spring weather to infect the new year's growth.Among the most serious disease problems is a bacterial disease called fireblight, and two fungal diseases: Gymnosporangium rust and black spot. Other pests that affect apple trees include Codling moths and apple maggots. Young apple trees are also prone to mammal pests like mice and deer, which feed on the soft bark of the trees, especially in winter. The larvae of the apple clearwing moth (red-belted clearwing) burrow through the bark and into the phloem of apple trees, potentially causing significant damage.",490
1653,Crop rotation,Biodiversity,"Increasing the biodiversity of crops has beneficial effects on the surrounding ecosystem and can host a greater diversity of fauna, insects, and beneficial microorganisms in the soil as found by McDaniel et al 2014 and Lori et al 2017. Some studies point to increased nutrient availability from crop rotation under organic systems compared to conventional practices as organic practices are less likely to inhibit of beneficial microbes in soil organic matter, such as arbuscular mycorrhizae, which increase nutrient uptake in plants. Increasing biodiversity also increases the resilience of agro-ecological systems.",114
1654,Cardamom,Uses,"Both forms of cardamom are used as flavourings and cooking spices in both food and drink, and as a medicine. E. cardamomum (green cardamom) is used as a spice, a masticatory, or is smoked.",55
1655,Isotopes of iron,Iron-54,"54Fe is observationally stable, but theoretically can decay to 54Cr, with a half-life of more than 4.4×1020 years via double electron capture (εε).",41
1656,List of John Deere tractors,T tracked versions,"During the fall of 1998, Deere & Company had a 360 horsepower (270 kilowatts) prototype 9300T track tractor at at least three farm shows.  During August 1999, the company had another dealer meeting in Moline, Illinois.  It was here that the 360 horsepower (270 kilowatts) 9300T, and 425 horsepower (317 kilowatts) 9400T were revealed to their John Deere dealers.  A 115 horsepower (86 kilowatts) 7510 with full four-wheel drive was added.  As a result, the 7610 was uprated to 120 horsepower (89 kilowatts), and 7710 up to 135 horsepower (101 kilowatts).  The 8000/8000T Series tractors were replaced with the 165 horsepower (123 kilowatts) 8110/8110T, 185 horsepower (138 kilowatts) 8210/8210T, 205 horsepower (153 kilowatts) 8310/8310T, and 235 horsepower (175 kilowatts) 8410/8410T. These tractors got Deere sued by Caterpillar for directly copying their design.",238
1657,Eggplant,Nutrition,"Raw eggplant is 92% water, 6% carbohydrates, 1% protein, and has negligible fat (table). It provides low amounts of essential nutrients, with only manganese having a moderate percentage (11%) of the Daily Value. Minor changes in nutrient composition occur with season, environment of cultivation (open field or greenhouse), and genotype.",73
1658,Urea,Reactions,"Urea is basic. As such it is protonated readily. It is also a Lewis base forming complexes of the type [M(urea)6]n+.
Urea reacts with malonic esters to make barbituric acids.",55
1659,Ductile iron pipe,Internal linings,"Ductile iron pipe is somewhat resistant to internal corrosion in potable water and less aggressive forms of sewage. However, even where pipe material loss and consequently pipe wall reduction is slow, the deposition of corrosion products on the internal pipe wall can reduce the effective internal diameter. A variety of linings are available to reduce or eliminate corrosion, including cement mortar, polyurethane and polyethylene. Of these, cement mortar lining is by far the most common.",96
1660,Digitalis,Mechanism of action,"Digitalis works by inhibiting sodium-potassium ATPase. This results in an increased intracellular concentration of sodium ions and thus a decreased concentration gradient across the cell membrane. This increase in intracellular sodium causes the Na/Ca exchanger to reverse potential, i.e., transition from pumping sodium into the cell in exchange for pumping calcium out of the cell, to pumping sodium out of the cell in exchange for pumping calcium into the cell. This leads to an increase in cytoplasmic calcium concentration, which improves cardiac contractility. Under normal physiological conditions, the cytoplasmic calcium used in cardiac contractions originates from the sarcoplasmic reticulum, an intracellular organelle that stores calcium. Human newborns, some animals, and patients with chronic heart failure lack well developed and fully functioning sarcoplasmic reticula and must rely on the Na/Ca exchanger to provide all or a majority of the cytoplasmic calcium required for cardiac contraction. For this to occur, cytoplasmic sodium must exceed its typical concentration to favour a reversal in potential, which naturally occurs in human newborns and some animals primarily through an elevated heart rate; in patients with chronic heart failure it occurs through the administration of digitalis. As a result of increased contractility, stroke volume is increased. Ultimately, digitalis increases cardiac output (cardiac output = stroke volume x heart rate). This is the mechanism that makes this drug a popular treatment for congestive heart failure, which is characterized by low cardiac output.
Digitalis also has a vagal effect on the parasympathetic nervous system, and can be used to slow the ventricular rate during atrial fibrillation (unless there's an accessory pathway, when it can paradoxically increase the heart rate). The dependence on the vagal effect means digitalis is not effective when a patient has a high sympathetic nervous system drive, which is the case with acutely ill persons, and also during exercise.",410
1661,Eggplant,From Arabic into Greek and beyond,"The Arabic word bāḏinjān was borrowed into Greek by the eleventh century CE. The Greek loans took a variety of forms, but crucially they began with m-, partly because Greek lacked the initial b- sound and partly through folk-etymological association with the Greek word μέλας (melas), 'black'. Attested Greek forms include ματιζάνιον (matizanion, eleventh-century), μελιντζάνα (melintzana, fourteenth-century), and μελιντζάνιον (melintzanion, seventeenth-century).From Greek, the word was borrowed into Italian and medieval Latin, and onwards into French. Early forms include:
Melanzāna, recorded in Sicilian in the twelfth century.
Melongena, recorded in Latin in the thirteenth century.
Melongiana, recorded in Veronese in the fourteenth century.
Melanjan, recorded in Old French.From these forms came the botanical Latin melongēna. This was used by Tournefort as a genus name in 1700, then by Linnaeus as a species name in 1753. It remains in scientific use.These forms also gave rise to the Caribbean English melongene.The Italian melanzana, through folk-etymology, was adapted to mela insana ('mad apple'): already by the thirteenth century, this name had given rise to a tradition that eggplants could cause insanity. Translated into English as 'mad-apple', 'rage-apple', or 'raging apple', this name for eggplants is attested from 1578 and the form 'mad-apple' may still be found in Southern American English.",395
1662,National Center for Biotechnology Information,GenBank,"NCBI had responsibility for making available the GenBank DNA sequence database since 1992. GenBank coordinates with individual laboratories and other sequence databases, such as those of the European Molecular Biology Laboratory (EMBL) and the DNA Data Bank of Japan (DDBJ).Since 1992, NCBI has grown to provide other databases in addition to GenBank. NCBI provides the Gene database, Online Mendelian Inheritance in Man, the Molecular Modeling Database (3D protein structures), dbSNP (a database of single-nucleotide polymorphisms), the Reference Sequence Collection, a map of the human genome, and a taxonomy browser, and coordinates with the National Cancer Institute to provide the Cancer Genome Anatomy Project. The NCBI assigns a unique identifier (taxonomy ID number) to each species of organism.The NCBI has software tools that are available through internet browsers or by FTP. For example, BLAST is a sequence similarity searching program. BLAST can do sequence comparisons against the GenBank DNA database in less than 15 seconds.",214
1663,Sesame allergy,Cross-contact,"Cross-contact exposure, also referred to as cross-contamination, occurs as a result of foods being processed in factories or at food markets, or are being prepared for cooking in restaurants and home kitchens. The allergenic proteins are inadvertently transferred from one food to another. Bakeries can be sites of cross-contact exposure because sesame seeds are used as ingredients in various baked goods. Assessment of food products purchased from Middle Eastern grocery stores and bakeries in Montreal, Canada, found that 16% of packaged products with Precautionary Allergen Labelling may contain sesame. This finding indicates that products can have measurable sesame content, causing inadvertent cross-contamination.",141
1664,Rich Tea,Summary,"Rich tea is a type of sweet biscuit; the ingredients generally include wheat flour, sugar, vegetable oil and malt extract. Originally called Tea Biscuits, they were developed in the 19th century in Yorkshire, England for the upper classes as a light snack between full-course meals. One of the best-selling biscuits in the British Isles, the biscuit is also popular in Malta and Cyprus. The plain flavour and consistency of rich tea makes them particularly suitable for dunking in tea and coffee. It is also common to apply spreads such as butter and/or preserves to the back of rich tea biscuits. 
McVitie's have used the brand name ""Rich Tea"" since 1891 and remains the most well-known manufacturer in the UK. Since 2000, most major supermarkets sell an own-brand version of the biscuits.
They are also sold as a finger variety and, as Rich Tea Creams, a long thin rectangular version with vanilla cream sandwiched between two biscuits (made by Fox's). The Morning Coffee biscuit is rectangular rather than round but is similar to the rich tea.
In 2011 Prince William chose a groom's cake for his wedding reception made from 1,700 McVitie's rich tea biscuits and 17 kilograms (37 lb) of chocolate.",265
1665,Bamboo textile,Biodegradable,"Like other cellulose-based clothing materials, bamboo fibre is biodegradable in soil by micro organisms and sunlight. Having reached the end of its useful life, clothing made from bamboo can be composted and disposed of in an organic and environmentally friendly manner.",55
